len of url,no of dots,security sensitive words,no of hyphens in dom,dir_len,no of subdir,domain len,domain token count,path token count,ip present,largest domain_tok_len,avg_dom_token_len,largest path token length,avg path token length,suspicious tld,len_of_file,total dots in file,total delims in file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,URL,Label
66,5,0,0,34,5,17,3,5,0,9,5,7,5.6,0,15,3,0,0,0,0,0,12,24,1,34394,http://www.hellooyun.com/php/ww2usaa/www32ew/us54/1netlgn/10fbbb415033...,1
66,5,1,2,27,1,32,3,1,0,20,10,25,25,0,7,3,0,0,0,0,0,115,5,617,-1,http://accesscibc-loginuser.from-ms.com/usercibcserverloginonline/auth...,1
31,3,1,0,1,0,21,3,0,0,12,6.333333333,0,0,0,9,1,0,0,0,0,0,169,11,37,-1,http://calimboersrs.16mb.com/Login.htm,1
24,2,0,0,1,0,13,2,0,0,9,6,0,0,0,10,1,0,0,0,0,0,37,11,972,92821,http://handasapc.com/htd13.html,1
22,2,0,1,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,205,59,93,-1,http://www.rileys-coffee.com/,0
66,4,0,0,9,1,28,2,1,0,24,13.5,7,7,0,29,3,0,0,0,0,0,11,1,331,-1,http://chrisandclairegethitched.com/wp-yeye/0135c667aa2b39428738587cf3...,1
55,6,1,0,28,2,14,2,2,0,10,6.5,17,12.5,0,13,4,0,0,0,0,0,170,10,472,-1,http://pavinglady.com/accounts.securred/initiate/index.html...,1
44,7,0,0,7,1,19,4,1,0,9,4,5,5,0,18,4,0,0,0,0,0,-1,-1,-1,-1,http://www.karafarms.co.nz/eclou/contactform.php...,1
32,4,0,0,6,1,15,4,1,0,4,3,4,4,0,11,1,0,0,0,0,0,-1,-3,-1,-1,http://www.sumi.com.hk/cbct/cbindex.php,1
22,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,8,0,0,0,0,0,0,257,7,190,631,http://www.topix.com/business,0
48,4,0,1,25,2,23,4,2,0,11,5,14,11,0,0,0,0,0,0,0,0,-1,-1,-1,52074,http://www.math.rwth-aachen.de/~Gabriele.Nebe/LATTICES/,0
66,4,0,0,36,4,20,2,4,0,16,9.5,9,7.75,0,10,3,0,0,0,0,0,60,12,75,-1,http://distribucionesir.com/dropboxxb/dropboxx/dropbox/dropbox/spacebo...,1
12,2,0,0,1,0,11,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,173,7,185,-1,http://www.ynwa.tv/,0
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,193,11,44,-1,http://www.gunboards.com/,0
26,2,0,0,11,1,15,3,1,0,8,4.333333333,9,9,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://suzanbat.com.br/filewords/,1
25,2,0,0,1,0,24,3,0,0,11,7.333333333,0,0,0,0,0,0,0,0,0,0,108,12,5,-1,http://sudharma.epapertoday.com/,0
23,2,0,1,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,235,41,10,947070596,http://www.corliss-lamont.org/,0
66,5,0,0,28,4,13,3,4,0,6,3.666666667,7,5.75,0,25,3,0,0,0,0,0,-1,-1,-1,-1,http://adicon.com.cn/images/qkfiles/201507/Home/07435316930a50578f2117...,1
45,5,0,0,21,3,21,3,3,0,14,6.333333333,11,5.666666667,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://servico24horas.com.br/wp-includes/css/aos/...,1
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,196,8,129,98108,http://www.choiceorganicteas.com/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,205,59,66,-1,http://www.surfcitycoffee.com/,0
15,1,0,0,1,0,14,2,0,0,10,6.5,0,0,0,0,0,0,0,0,0,0,219,9,128,-1,http://wherehouse.com/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,187,5,328,-1,http://www.synchronopedia.com/,0
21,2,0,0,7,1,14,2,1,0,11,6.5,5,5,0,0,0,0,0,0,0,0,2,9,20,-1,http://sesoincgame.us/.USAA/,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,147,9,77,-1,http://www.cowboysbbq.com/,0
23,3,0,0,1,0,14,3,0,0,5,4,0,0,0,8,1,0,0,0,0,0,104,16,37,-1,http://m2000.890m.com/qua1.php,1
34,4,0,0,5,1,15,4,1,0,4,3,3,3,0,14,1,0,0,0,0,0,-1,-1,-1,-1,http://www.aeep.com.au/SGD/pvalidate.html,1
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,269,7,164,10011,http://www.penton.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,215,37,394,-1,http://www.shanshuiteas.com/,0
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,465,http://www.ontheboards.com/,0
45,6,0,0,17,1,18,3,1,0,10,5.333333333,15,15,0,10,3,0,0,0,0,0,4,32,59,-1,http://www.nukestudio.org/huoxiaodong.org/newdocs...,1
66,5,0,0,21,2,31,2,2,0,27,15,11,9,0,14,4,0,0,0,0,0,25,11,22,-1,http://autoservicioslubrirepuestos.com/wp-includes/widgets/Alibaba.htm...,1
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,204,24,463,-1,http://www.soapboxltd.com/,0
24,3,0,1,1,0,23,4,0,0,13,5,0,0,0,0,0,0,0,0,0,0,177,99,458,-1,http://www.bluemoon-mcfc.co.uk/,0
32,3,0,0,14,1,18,4,1,0,7,3.75,12,12,0,0,0,0,0,0,0,0,-1,-1,-1,76128,http://liinwww.ira.uka.de/bibliography/,0
20,2,0,0,1,0,19,3,0,0,10,5.666666667,0,0,0,0,0,0,0,0,0,0,40,8,112,79111,http://www.sexarchive.info/,0
39,3,0,0,19,3,11,3,3,0,4,3,8,5,0,9,1,0,0,0,0,0,-1,-1,-1,-1,http://www.eufo.de/football/esp/2004/index.htm,0
39,3,0,0,18,2,21,4,2,0,6,4.5,10,7.5,0,0,0,0,0,0,0,0,259,77,353,94089,http://tech.groups.yahoo.com/group/eClippings/,0
26,1,0,0,10,1,12,2,1,0,8,5.5,8,8,0,4,0,0,0,0,0,0,3,9,26,-1,http://uwasaleh.org/aluminum/gtex,1
66,6,0,0,33,5,27,4,5,0,11,6,8,5.4,0,6,3,0,0,0,0,0,-1,-1,-1,-1,http://www.busestec.proyectosjk.cl/sig/storage/2016/April/Verified/044...,1
66,6,0,0,31,2,15,3,2,0,7,4.333333333,18,14,0,10,1,0,10,1,5,0,13,11,21,-1,http://www.cosureb.com/wp-content/g8634d010eacf55520/index2.php?cmd=33...,1
71,3,0,0,22,2,21,3,2,0,8,6.333333333,10,9.5,0,28,1,2,0,0,0,0,203,1,719,-1,http://homepage.ntlworld.com/fetchfido2/interface/search_engines_universal.htm,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.antibubble.org/,0
37,3,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,17,1,0,0,0,0,0,208,68,1336,-1,http://www.jefflindsay.com/2dfactorial.shtml,0
31,1,0,0,23,2,8,2,2,0,5,3.5,10,10,0,0,0,0,0,0,0,0,18,6,-1,-1,http://camec.ru/wp-content/googledocs/,1
18,2,0,1,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,222,30,60,-1,http://www.wine-cask.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,136,8,138,-1,http://www.mumbaimirror.com/,0
32,2,0,0,1,0,31,3,0,0,21,9.666666667,0,0,0,0,0,0,0,0,0,0,187,113,64,95618,http://californiaagriculture.ucanr.org/,0
66,4,1,0,11,1,21,2,1,0,17,10,9,9,0,34,3,0,0,0,0,0,5,7,24,27302,http://southeastproparty.org/login-dcs/579053c65c37832e852adda3df7c40a...,1
59,6,1,0,41,4,12,2,4,0,8,5.5,24,9,0,6,3,0,0,0,0,0,12,0,10,-1,http://drfumero.com/js/pnc/sign-in/onlinebanking.pnc.signon/pnc...,1
16,3,0,0,1,0,15,4,0,0,5,3,0,0,0,0,0,0,0,0,0,0,-1,11,-1,400055,http://www.bigtv.co.in/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,253,11,36,-1,http://www.dunkindonuts.com/,0
21,4,0,0,10,1,11,4,1,1,2,2,8,8,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://94.32.66.50/usaa.com/,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,246,18,182,-1,http://www.themusic.com/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,190,86,126,-1,http://www.netcoffees.net/,0
36,2,0,0,5,1,22,2,1,0,18,10.5,3,3,0,9,1,0,0,0,0,0,78,6,209,-1,http://legalproconsultant.com/aol/index.htm,1
36,2,0,0,12,2,24,3,2,0,16,7.333333333,6,4.5,0,0,0,0,0,0,0,0,218,10,102,0,http://www.reactionresearch.com/aol/Gdoccc/,1
56,4,0,0,8,2,13,2,2,0,9,6,3,2.5,0,35,3,0,0,0,0,0,13,11,30,-1,http://grabislam.com/woe/db/b65b13b0995636f1f831a179c5ee15f4...,1
18,1,0,0,1,0,17,2,0,0,13,8,0,0,0,0,0,0,0,0,0,0,163,5,559,0,http://hawkmoonsoaps.com/,0
66,5,0,0,40,2,18,3,2,0,10,5.333333333,32,18.5,0,8,3,0,0,0,0,0,5,7,62,-1,http://www.top10filmy.com/index/233c2d9b5768b4676472c4fe0a18cc3d/9f18d...,1
37,2,0,1,11,2,26,3,2,0,18,8,5,4,0,0,0,0,0,0,0,0,9,15,285,54200,http://www.gotmilkpharmacy-cc.com/admin/key/,1
25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,205,4,249,1840,http://www.reckittbenckiser.com/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,161,7,154,-1,http://www.gladstrong.com/,0
25,3,0,0,1,0,24,4,0,0,14,5.25,0,0,0,0,0,0,0,0,0,0,34,14,220,-1,http://www.adriansrecords.co.uk/,0
25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,203,1,112,110024,http://www.visualaidscentre.com/,0
28,2,0,0,1,0,27,3,0,0,19,8.333333333,0,0,0,0,0,0,0,0,0,0,249,3,1741,32080,http://www.whetstonechocolates.com/,0
33,3,0,2,1,0,32,4,0,0,22,7.25,0,0,0,0,0,0,0,0,0,0,126,18,195,-1,http://www.cmr-catering-equipment.co.uk/,0
65,5,0,0,35,3,27,3,3,0,16,8.333333333,11,10.33333333,0,3,3,0,0,0,0,0,74,10,68,-1,http://se14th.aamcocentraliowa.com/~wendydel/wp-includes/editedwells/...,1
22,2,0,0,1,0,21,3,0,0,13,6.333333333,0,0,0,0,0,0,0,0,0,0,230,10,382,80904,http://www.patsyscandies.com/,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,181,23,59,-1,http://www.1stresumes.com/,0
16,1,0,0,1,0,10,2,0,0,6,4.5,0,0,0,5,0,0,0,0,0,0,85,11,21,55120,http://ulinks.net/8810d,1
18,3,0,0,1,0,17,4,0,0,6,3.5,0,0,0,0,0,0,0,0,0,0,214,2,-1,-1,http://www.prince.com.sg/,0
35,3,0,0,1,0,14,3,0,0,8,4,0,0,0,20,1,1,0,0,0,0,-1,-1,-1,-1,http://ds534634.at.ua/incorrect_email.html,1
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,250,44,1021,78300,http://www.peugeot.com/,0
21,1,0,0,1,0,20,2,0,0,16,9.5,0,0,0,0,0,0,0,0,0,0,149,79,164,-1,http://coffeebeandirect.com/,0
27,2,0,0,15,2,12,3,2,0,4,3.333333333,7,6,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.uwsp.edu/history/wipcs/,0
66,4,1,0,12,1,24,2,1,0,20,11.5,10,10,0,30,3,0,0,0,0,0,198,6,82,-1,http://stowefamilydentistry.com/usaalogins/21a85f44136e29c640e887aacfc...,1
10,1,0,0,1,0,9,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,79,17,118,-1,http://mltfx.com/,0
66,4,0,0,20,2,16,2,2,0,12,7.5,10,8.5,0,30,3,3,0,0,0,0,13,11,73,-1,http://babyjalaibee.com/wp-content/plugins/cresta-social-share-counter...,1
20,3,0,0,1,0,19,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.mingshun.com.tw/,0
24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,200,16,32,-1,http://www.schooldatebooks.com/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,220,8,130,-1,http://www.buytea.com/,0
54,6,0,0,17,3,24,3,3,0,14,7.333333333,5,4.333333333,0,13,4,0,0,0,0,0,65,7,476,-1,http://ypeeserverlink.bugs3.com/aol-1/hmail/aol/index.html...,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,170,10,135,-1,http://www.indiaeducation.net/,0
66,5,0,1,14,2,33,3,2,0,26,10.33333333,6,5.5,0,19,3,0,0,0,0,0,-1,-1,-1,46047,http://www.vitamia-nahrungsergaenzung.de/mails/compte/e31d6553382518f2...,1
38,4,0,0,7,1,10,2,1,0,6,4.5,5,5,0,21,3,0,0,0,0,0,32,4,258,-1,http://36hype.com/wizzy/my.screenname.aol.htm,1
23,2,0,1,1,0,17,3,0,0,9,5,0,0,0,5,0,0,0,0,0,0,248,16,61,-1,http://www.davis-inc.com/rmftl,0
19,2,0,0,1,0,18,3,0,0,10,5.333333333,0,0,0,0,0,0,0,0,0,0,197,7,775,457000,http://www.hongyechem.com/,0
33,3,0,0,1,0,12,3,0,0,6,3.333333333,0,0,0,20,1,1,0,0,0,0,-1,-1,-1,-1,http://1023vg.at.ua/incorrect_email.html,1
19,2,0,0,1,0,18,3,0,0,9,5.333333333,0,0,0,0,0,0,0,0,0,0,194,46,81,-1,http://maths4cet.150m.com/,0
37,3,0,1,1,0,18,3,0,0,12,5.333333333,0,0,0,18,1,1,0,0,0,0,-1,-1,-1,-1,http://team-bloking.at.ua/open-blocking.html,1
66,11,1,0,1,0,55,9,0,0,12,5.222222222,0,0,0,10,3,0,0,0,0,0,-1,-1,-1,-1,http://objectpaypal.com.service.signin.country.en.us.selcom.cl/4131d96...,1
13,2,0,0,1,0,12,3,0,0,4,3.333333333,0,0,0,0,0,0,0,0,0,0,181,11,426,-1,http://www.jers.com/,0
66,5,0,0,35,3,21,3,3,0,14,6.333333333,14,10.33333333,0,10,3,0,0,0,0,0,-1,-1,-1,-1,http://direitaaoponto.com.br/wp-content/plugins/contact-form-7/include...,1
43,3,0,0,1,0,42,4,0,0,31,9.75,0,0,0,0,0,0,0,0,0,0,55,5,214,-1,http://www.edinburghbibliographicalsociety.org.uk/,0
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,235,53,283,496,http://www.naata.org/,0
27,2,0,0,1,0,26,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,217,47,279,-1,http://www.thecosmeticsurgeon.com/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,242,10,389,-1,http://www.daybreakcoffee.com/,0
31,1,0,0,5,1,19,2,1,0,16,9,3,3,0,7,0,0,0,0,0,0,-1,2,-1,-1,http://villacasadangelo.it/zhj/archive,1
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,235,29,242,99350,http://www.multiplication.com/,0
32,2,0,0,9,1,17,2,1,0,13,8,7,7,0,6,1,0,0,0,0,0,79,5,516,-1,http://cafegransasso.com/modules/as.htm,1
56,3,0,0,17,2,18,3,2,0,9,5.333333333,8,7,0,21,1,1,0,0,0,0,266,10,73,30309,http://home.earthlink.net/~dwaha/research/machine-learning.html,0
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,221,7,1606,-1,http://www.stonetapert.com/,0
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,160,8,368,21033,http://www.flashq.org/,0
38,2,1,1,18,2,20,3,2,0,14,6,8,7.5,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://notice-block25.at.ua/recovery/account/,1
66,7,0,0,43,3,20,3,3,0,12,6,24,13,0,3,3,0,0,0,0,0,39,9,102,-1,http://www.maddventures.com/~sefinfo/assistance.freemobile.fr/mcompte/...,1
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,233,7,218,-1,http://www.androidworld.com/,0
59,5,0,1,9,1,26,2,1,0,22,12.5,7,7,0,24,4,0,0,0,0,0,98,10,38,999077,http://hebergement-discounter.com/gestion/getproductrequest.htm...,1
66,4,1,0,36,4,21,2,4,0,17,10,10,7.75,0,9,3,0,0,0,0,0,15,9,381,78108,http://savingfaithchurch.org/wp-content/plugins/update/products/viewer...,1
24,2,0,0,1,0,23,3,0,0,15,7,0,0,0,0,0,0,0,0,0,0,158,10,58,-1,http://www.capecoralscreen.com/,1
26,2,0,0,1,0,25,3,0,0,17,7.666666667,0,0,0,0,0,0,0,0,0,0,205,23,432,64138,http://www.abilitiesenhanced.com/,0
45,6,0,3,1,0,32,3,0,0,22,10,0,0,0,12,4,0,0,0,0,0,35,1,347,-1,http://service-web-pages-2016.fulba.com/index.htm...,1
35,3,0,0,6,1,15,3,1,0,7,4.333333333,4,4,0,14,1,0,0,0,0,0,167,49,1968,-1,http://www.akgupta.com/Java/arithmetic.htm,0
25,1,0,0,6,1,19,2,1,0,15,9,4,4,0,0,0,0,0,0,0,0,108,42,1643,-1,http://cliftonlambreth.com/maxe/,1
66,7,1,0,42,6,15,3,6,0,7,4.333333333,13,5.833333333,0,9,3,0,0,0,0,0,61,11,22,214000,http://www.gkjx168.com/images?http://us.battle.net/login/http://dyfdzx...,1
23,2,0,0,1,0,22,3,0,0,15,6.666666667,0,0,0,0,0,0,0,0,0,0,166,50,1464,-1,http://www.collectorsworld.us/,0
23,3,0,0,1,0,22,4,0,0,7,4.75,0,0,0,0,0,0,0,0,0,0,205,35,1755,-1,http://www.monitor.upeace.org/,0
43,6,0,0,19,2,10,3,2,0,3,2.666666667,8,8,0,14,4,0,0,0,0,0,-1,7,156,10257,http://www.s1w.co/wp-admin/uploader/indexx.html...,1
30,1,0,0,10,1,13,2,1,0,9,6,8,8,0,7,0,0,0,0,0,0,89,7,209,-1,http://jimwigler.com/venoo000/webmail,1
31,2,0,0,1,0,30,3,0,0,22,9.333333333,0,0,0,0,0,0,0,0,0,0,200,16,225,13,http://www.reutersbusinessinsight.com/,0
63,9,0,0,46,2,14,3,2,0,7,4,30,21.5,0,3,3,0,0,0,0,0,-1,-1,-1,-1,http://topmiss.com.br/entropybanner/usaa.com.ent987383.lomy73.scem/...,1
27,2,1,0,6,1,11,2,1,0,7,5,4,4,0,9,1,0,0,0,0,0,2,10,61,-1,http://safetem.com/fcid/login.php?,1
44,6,0,1,18,3,17,3,3,0,9,5,6,4.666666667,0,9,4,0,0,0,0,0,88,92,1132,57000,http://www.i-cynthia.com/system/logs/newp/ii.php...,1
46,2,0,1,12,3,13,2,3,0,9,6,5,2.666666667,0,21,1,0,0,0,0,0,151,5,206,-1,http://e-drexler.com/p/idx04/00/0404drexlerBioCV.html,0
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,213,2,308,74130,http://www.royalind.com/,0
21,2,0,0,1,0,20,3,0,0,12,6,0,0,0,0,0,0,0,0,0,0,83,1,361,-1,http://www.businessmate.org/,0
18,1,0,0,1,0,17,2,0,0,13,8,0,0,0,0,0,0,0,0,0,0,217,64,4,-1,http://linuxsecurity.com/,0
42,7,1,0,10,1,18,4,1,0,7,3.75,8,8,0,14,4,0,0,0,0,0,-1,-1,-1,-1,http://www.senopel.com.br/dezastre/confirm.php...,1
23,1,0,0,1,0,11,2,0,0,7,5,0,0,0,11,0,0,0,0,0,0,199,41,914,94103,http://twitter.com/waynerooney,0
44,5,1,2,9,1,27,3,1,0,20,8.333333333,7,7,0,8,3,0,0,0,0,0,-1,-1,-1,-1,http://www.inc-service-accounts.ml/webapps/20ccc...,1
56,4,0,1,33,5,20,2,5,0,16,9.5,10,5.4,0,3,3,0,0,0,0,0,8,4,238,-1,http://code-application.com/rhode/BDBB%20(2)/BDBB/BDBB/dpbx/...,1
32,4,0,0,1,0,24,4,0,0,13,5.25,0,0,0,7,1,0,0,0,0,0,-1,-1,-1,-1,http://www.geattimetosec.esy.es/car.php,1
66,6,1,1,11,2,40,3,2,0,28,12.66666667,5,4,0,15,4,1,0,0,0,0,67,5,106,27601,http://updateaccount-paypalservices.rhcloud.com/Log/login/card_info.ph...,1
20,3,0,0,1,0,19,4,0,0,8,4,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.sunworld.com.tw/,0
30,3,0,0,5,1,11,3,1,0,4,3,3,3,0,14,1,0,0,0,0,0,-1,-1,-1,-1,http://aeep.com.au/SGD/pvalidate.html,1
43,6,0,0,10,1,12,2,1,0,8,5.5,8,8,0,21,4,1,0,0,0,0,15,9,84,-1,http://egyptmet.com/apple.it/user12-italy.apple...,1
21,1,0,0,13,1,8,2,1,0,5,3.5,11,11,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://sound.jp/strangelove/,0
51,5,0,0,23,1,25,3,1,0,10,7.666666667,21,21,0,3,3,0,0,0,0,0,111,9,124,24148,http://kolbert212.atwebpages.com/honesty-abuse-service/...,1
35,3,0,0,5,1,21,3,1,0,11,6.333333333,3,3,0,9,1,0,0,0,0,0,204,12,25,-1,http://gisar.sourceforge.net/ENG/Index.htm,0
66,5,1,1,35,3,15,2,3,0,11,7,13,10.33333333,0,16,4,0,0,0,0,0,17,7,59,119622,http://gaspra-life.com/administrator/manifests/libraries/secure.itunes...,1
66,7,0,0,23,4,13,4,4,0,3,2.5,7,4.5,0,14,1,0,16,2,3,0,162,5,256,53113,http://www.dhl.co.ke/content/ke/en/express/tracking.shtml?brand=DHL&am...,1
20,2,0,0,1,0,19,3,0,0,11,5.666666667,0,0,0,0,0,0,0,0,0,0,227,1,410,-1,http://www.mathrubhumi.com/,0
36,3,0,0,11,2,15,3,2,0,9,4.333333333,5,4,0,10,1,0,0,0,0,0,-1,-1,-1,-1,http://swimquest.co.za/media/mop/index.html,1
40,3,0,0,11,1,18,3,1,0,10,5.333333333,9,9,0,11,1,0,0,0,0,0,268,8,117,30309,http://www.mindspring.com/~mfpatton/Tissues.htm,0
64,5,0,0,42,3,19,3,3,0,11,5.666666667,32,12.66666667,0,3,3,0,0,0,0,0,139,5,51,-1,http://www.triveroquio.com/anie/3D/84c5c1539214d1fb32e9d759831c2fbf/...,1
11,2,0,0,1,0,10,3,0,0,3,2.666666667,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.nrm.se/,0
19,1,0,0,1,0,14,2,0,0,10,6.5,0,0,0,4,0,0,0,0,0,0,111,9,91,97201,http://gowebtools.com/bobs,1
66,5,0,0,24,3,26,3,3,0,18,8,10,6.666666667,0,16,3,0,0,0,0,0,19,5,200,-1,http://www.alejandraandelliot.com/wp-content/upgrade/lon/905d2c8a35484...,1
14,2,0,0,1,0,13,3,0,0,5,3.666666667,0,0,0,0,0,0,0,0,0,0,251,1,532,92865,http://www.winex.com/,0
19,2,0,0,1,0,18,3,0,0,12,5.333333333,0,0,0,0,0,0,0,0,0,0,77,7,152,-1,http://footballaway.co.uk/,0
31,2,0,0,19,2,12,3,2,0,5,3.333333333,8,8,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.mista.eu/phpThumb/document/,1
66,7,1,0,34,3,22,4,3,0,12,4.75,11,10,0,10,4,0,0,0,0,0,-1,-1,-1,-1,http://www.workdynamics.co.za/wp-admin/wellsfargoz/wellsfargoz/verify....,1
66,6,1,0,1,0,23,3,0,0,10,7,0,0,0,9,1,0,33,2,12,1,5,7,166,0,http://constructb.effortam.com/login.php?cmd=login_submit&id=c38aa648f...,1
66,6,0,0,28,4,17,4,4,0,6,3.5,7,5.75,0,21,3,0,0,0,0,0,-1,-1,-1,-1,http://www.adicon.com.cn/images/qkfiles/201507/Home/9af3b4c754c5c9e5aa...,1
25,2,0,0,1,0,24,3,0,0,16,7.333333333,0,0,0,0,0,0,0,0,0,0,184,8,124,41,http://www.virtualworldlets.net/,0
38,2,0,0,12,1,26,3,1,0,18,8,10,10,0,0,0,0,0,0,0,0,13,11,13,-1,http://www.cutequotesoftheday.com/googledocs/,1
15,3,0,0,1,0,14,4,0,0,4,2.75,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://www.biab.ac.uk/,0
23,2,0,0,1,0,22,3,0,0,14,6.666666667,0,0,0,0,0,0,0,0,0,0,209,7,163,-1,http://www.coffeebydesign.com/,0
29,2,0,0,5,1,17,3,1,0,10,5,3,3,0,7,0,0,0,0,0,0,-1,-1,-1,-1,http://farmafocus.com.br/one/dropbox,1
37,2,0,0,17,2,20,3,2,0,13,6,10,7,0,0,0,0,0,0,0,0,-1,-1,-1,-1,http://justinearmani.com.br/wp-content/ksdd/,1
17,2,0,0,1,0,16,3,0,0,8,4.666666667,0,0,0,0,0,0,0,0,0,0,197,19,217,-1,http://www.balmzara.com/,0
66,5,0,0,9,1,25,3,1,0,17,7.666666667,7,7,0,32,3,0,0,0,0,0,36,12,8,-1,http://www.leighgphotography.com/SERVICE/edani82ldbuizbt4gbugw2i3ls22p...,1
31,3,0,0,1,0,23,4,0,0,12,5,0,0,0,7,0,0,0,0,0,0,-1,-1,-1,-1,http://www.santaremplay.com.br/Dropbox,1
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,212,4,285,91081,http://www.eufora.net/,0
31,1,0,1,15,2,16,2,2,0,12,7.5,8,6,0,0,0,0,0,0,0,0,27,21,124,-1,http://arabian-gulf.net/usgefart/uson/,1
18,2,0,0,1,0,17,3,0,0,9,5,0,0,0,0,0,0,0,0,0,0,205,11,58,-1,http://www.msebindia.com/,0
10,1,0,0,1,0,4,2,0,0,2,1.5,0,0,0,5,0,0,0,0,0,0,-1,8,451,85260,http://x.co/6lh5M,1
16,2,0,0,1,0,15,3,0,0,7,4.333333333,0,0,0,0,0,0,0,0,0,0,233,7,1620,-1,http://www.tealuxe.com/,0
66,5,0,0,20,2,22,3,2,0,16,6.666666667,10,8.5,0,24,3,0,0,0,0,0,-1,-1,-1,-1,http://roofrescuerepair.co.za/wp-content/upgrade/07e41e63cbfeff77cd1a0...,1
33,1,0,1,23,3,10,2,3,0,6,4.5,8,6.333333333,0,0,0,0,0,0,0,0,54,6,156,400394,http://e-seen.com/homepage/Itunes/apple/,1
15,2,0,0,1,0,14,3,0,0,6,4,0,0,0,0,0,0,0,0,0,0,251,25,1109,-1,http://www.moreau.com/,0
42,6,0,0,12,1,18,3,1,0,10,5.333333333,10,10,0,12,4,0,0,0,0,0,8,4,249,-1,http://www.cabscochin.com/invest-LLC/index.php...,1
